Name,Product Type,Quantity Sold,Date Sold,Product Price (SGD)
Green Emerald Lettuce,Leafy Green,25,1/1/2020,4.0
Ruby Red Lettuce,Leafy Green,19,1/1/2020,4.0
Chye Sim,Leafy Green,55,3/1/2020,3.5
Basil,Herb,8,3/1/2020,2.5
Mizuna,Leafy Green,21,3/1/2020,3.8
Ruby Red Lettuce,Leafy Green,21,4/1/2020,4.0
Mint,Herb,7,4/1/2020,2.5
Chye Sim,Leafy Green,52,4/1/2020,3.5
Mizuna,Leafy Green,21,6/1/2020,3.8
Green Emerald Lettuce,Leafy Green,34,6/1/2020,4.0
Mizuna,Leafy Green,20,7/1/2020,3.8
Basil,Herb,11,7/1/2020,2.5
Green Emerald Lettuce,Leafy Green,31,8/1/2020,4.0
Mint,Herb,8,8/1/2020,2.5
Chye Sim,Leafy Green,58,8/1/2020,3.5
Ruby Red Lettuce,Leafy Green,25,9/1/2020,4.0
Basil,Herb,11,10/1/2020,2.5
Mizuna,Leafy Green,18,10/1/2020,3.8
Chye Sim,Leafy Green,66,10/1/2020,3.5
Mint,Herb,6,10/1/2020,2.5
Green Emerald Lettuce,Leafy Green,32,11/1/2020,4.0
Ruby Red Lettuce,Leafy Green,23,12/1/2020,4.0
Chye Sim,Leafy Green,48,13/1/2020,3.5
Mint,Herb,6,14/1/2020,2.5
Ruby Red Lettuce,Leafy Green,29,14/1/2020,4.0
Mizuna,Leafy Green,20,15/1/2020,3.8
Green Emerald Lettuce,Leafy Green,31,15/1/2020,4.0
Basil,Herb,11,15/1/2020,2.5
Mizuna,Leafy Green,15,16/1/2020,3.8
Ruby Red Lettuce,Leafy Green,23,17/1/2020,4.0
Green Emerald Lettuce,Leafy Green,41,17/1/2020,4.0
Chye Sim,Leafy Green,52,17/1/2020,3.5
Basil,Herb,8,17/1/2020,2.5
Mint,Herb,8,18/1/2020,2.5
Green Emerald Lettuce,Leafy Green,28,18/1/2020,4.0
Mizuna,Leafy Green,18,18/1/2020,3.8
Ruby Red Lettuce,Leafy Green,20,19/1/2020,4.0
Chye Sim,Leafy Green,64,19/1/2020,3.5
Mizuna,Leafy Green,19,20/1/2020,3.8
Green Emerald Lettuce,Leafy Green,24,20/1/2020,4.0
Chye Sim,Leafy Green,56,21/1/2020,3.5
Basil,Herb,9,21/1/2020,2.5
Ruby Red Lettuce,Leafy Green,29,21/1/2020,4.0
Mint,Herb,9,21/1/2020,2.5
Mizuna,Leafy Green,22,22/1/2020,3.8
Green Emerald Lettuce,Leafy Green,36,23/1/2020,4.0
Chye Sim,Leafy Green,47,23/1/2020,3.5
Ruby Red Lettuce,Leafy Green,28,23/1/2020,4.0
Green Emerald Lettuce,Leafy Green,24,24/1/2020,4.0
Basil,Herb,11,25/1/2020,2.5
Ruby Red Lettuce,Leafy Green,25,25/1/2020,4.0
Mizuna,Leafy Green,21,25/1/2020,3.8
Chye Sim,Leafy Green,61,25/1/2020,3.5
Mizuna,Leafy Green,15,26/1/2020,3.8
Ruby Red Lettuce,Leafy Green,22,26/1/2020,4.0
Chye Sim,Leafy Green,52,27/1/2020,3.5
Green Emerald Lettuce,Leafy Green,30,27/1/2020,4.0
Green Emerald Lettuce,Leafy Green,23,28/1/2020,4.0
Ruby Red Lettuce,Leafy Green,23,28/1/2020,4.0
Mint,Herb,8,28/1/2020,2.5
Basil,Herb,11,29/1/2020,2.5
Mizuna,Leafy Green,22,29/1/2020,3.8
Chye Sim,Leafy Green,53,29/1/2020,3.5
Green Emerald Lettuce,Leafy Green,24,30/1/2020,4.0
Ruby Red Lettuce,Leafy Green,27,30/1/2020,4.0
Chye Sim,Leafy Green,60,30/1/2020,3.5
Mizuna,Leafy Green,19,31/1/2020,3.8
Mint,Herb,9,31/1/2020,2.5
Chye Sim,Leafy Green,50,1/2/2020,3.5
Basil,Herb,12,1/2/2020,2.5
Ruby Red Lettuce,Leafy Green,22,2/2/2020,4.0
Green Emerald Lettuce,Leafy Green,34,2/2/2020,4.0
Mint,Herb,10,3/2/2020,2.5
Mizuna,Leafy Green,19,3/2/2020,3.8
Ruby Red Lettuce,Leafy Green,26,4/2/2020,4.0
Mizuna,Leafy Green,22,4/2/2020,3.8
Chye Sim,Leafy Green,49,5/2/2020,3.5
Green Emerald Lettuce,Leafy Green,35,5/2/2020,4.0
Basil,Herb,5,6/2/2020,2.5
Mint,Herb,6,6/2/2020,2.5
Ruby Red Lettuce,Leafy Green,18,7/2/2020,4.0
Green Emerald Lettuce,Leafy Green,18,8/2/2020,4.0
Mizuna,Leafy Green,16,8/2/2020,3.8
Chye Sim,Leafy Green,44,9/2/2020,3.5
Mizuna,Leafy Green,14,10/2/2020,3.8
Ruby Red Lettuce,Leafy Green,13,10/2/2020,4.0
Basil,Herb,8,11/2/2020,2.5
Chye Sim,Leafy Green,52,11/2/2020,3.5
Mint,Herb,7,12/2/2020,2.5
Green Emerald Lettuce,Leafy Green,28,12/2/2020,4.0
Ruby Red Lettuce,Leafy Green,21,13/2/2020,4.0
Chye Sim,Leafy Green,32,13/2/2020,3.5
Mizuna,Leafy Green,23,13/2/2020,3.8
Basil,Herb,13,14/2/2020,2.5
Mint,Herb,8,15/2/2020,2.5
Green Emerald Lettuce,Leafy Green,38,15/2/2020,4.0
Ruby Red Lettuce,Leafy Green,23,16/2/2020,4.0
Green Emerald Lettuce,Leafy Green,36,16/2/2020,4.0
Mizuna,Leafy Green,20,17/2/2020,3.8
Chye Sim,Leafy Green,66,17/2/2020,3.5
Chye Sim,Leafy Green,32,18/2/2020,3.5
Mizuna,Leafy Green,14,19/2/2020,3.8
Green Emerald Lettuce,Leafy Green,33,19/2/2020,4.0
Basil,Herb,12,19/2/2020,2.5
Mint,Herb,8,19/2/2020,2.5
Ruby Red Lettuce,Leafy Green,28,19/2/2020,4.0
Chye Sim,Leafy Green,61,20/2/2020,3.5
Green Emerald Lettuce,Leafy Green,32,20/2/2020,4.0
Mizuna,Leafy Green,21,21/2/2020,3.8
Ruby Red Lettuce,Leafy Green,22,21/2/2020,4.0
Chye Sim,Leafy Green,48,22/2/2020,3.5
Ruby Red Lettuce,Leafy Green,21,22/2/2020,4.0
Mizuna,Leafy Green,23,23/2/2020,3.8
Basil,Herb,10,23/2/2020,2.5
Green Emerald Lettuce,Leafy Green,28,23/2/2020,4.0
Mint,Herb,7,23/2/2020,2.5
Green Emerald Lettuce,Leafy Green,36,24/2/2020,4.0
Ruby Red Lettuce,Leafy Green,24,24/2/2020,4.0
Basil,Herb,14,25/2/2020,2.5
Mint,Herb,6,25/2/2020,2.5
